bruce_id,timestamp,transaction_id,merchant_id,hit_rules,rules_decision,override,engine_decision,final_decision,is_fraud_x,is_fraud_y,learning_label,B_listed,W_listed,rel_rules,h2o_score,bayesia_score,ml_label,sherlock_decision
27287070,2016-12-14 07:51:24,6de2c3c7-7560-4c88-bb34-f73896104aa4,M098322,SC0002818,deny,0,deny,None,3,5,1,0,0,0,992.12,999.99,1,deny
27287145,2016-12-14 07:51:46,c7f47edb-ecfb-4f7b-9854-39ce3eec7439,M098322,SC0002818,deny,0,deny,None,3,5,1,0,0,0,990.03,999.99,1,deny
27287703,2016-12-14 07:54:30,58f3e661-5357-42ad-b278-1a213e092d6e,M098322,SC0002818,deny,0,deny,None,3,5,1,0,0,0,990.01,999.99,1,deny
27288426,2016-12-14 07:58:00,e6ff8403-5e64-4e09-a530-bbbdb78549bf,M098322,SC0001215,deny,0,deny,None,0,5,2,0,0,1,1.19,7.24,0,accept
27289392,2016-12-14 08:02:35,2a7f4b4e-1e0e-4658-91af-b1ee063acff7,M098322,,,,accept,settlement,0,0,0,0,0,0,54.12,40.68,0,accept
27291021,2016-12-14 08:10:29,ac831d9e-bba8-441e-9650-0c98a13a7d8f,M098322,,,,accept,settlement,0,0,0,0,0,0,3.42,1.28,0,accept
27294003,2016-12-14 08:24:43,a671e7db-826a-4653-8003-026b70bb542f,M098322,,,,accept,settlement,0,0,0,0,0,0,3.58,1.28,0,accept
27294048,2016-12-14 08:24:54,7f8af447-8563-44cc-8c30-b203796c1697,M098322,,,,accept,settlement,0,0,0,0,0,0,0.36,1.31,0,accept
27294276,2016-12-14 08:26:10,f5aab904-4d08-4e6d-9e38-91a0a0ba4ce7,M098322,,,,accept,settlement,0,0,0,0,0,0,0.53,11.23,0,accept
27297453,2016-12-14 08:42:18,706ac1d3-39f8-43a1-81f4-b35ddbe8a567,M098322,,,,accept,deny,0,5,2,0,0,0,0.75,0.57,0,accept
27299598,2016-12-14 08:53:18,29f74cde-92bb-4b31-b574-438a37b7d149,M098322,,,,accept,settlement,0,0,0,0,0,0,32.58,790.58,0,accept
27300198,2016-12-14 08:56:15,aff443c8-5bbb-47ca-a8f2-cca3f22db9be,M098322,,,,accept,settlement,0,0,0,0,0,0,1.27,121.47,0,accept
27304866,2016-12-14 09:16:51,a6e9c86c-ee10-4502-8b82-7ef503624999,M098322,,,,accept,settlement,0,0,0,0,0,0,0.82,0.0,0,accept
27304992,2016-12-14 09:17:30,0604bc7e-1d07-47ed-8c60-dee6547b0e51,M098322,,,,accept,settlement,0,0,0,0,0,0,0.35,0.0,0,accept
27305367,2016-12-14 09:19:05,2788a3ac-a65a-423c-bd70-63f20e2fed40,M098322,,,,accept,settlement,0,0,0,0,0,0,0.17,0.0,0,accept
27310386,2016-12-14 09:42:54,166a05df-160b-4a20-9807-e8649b33548e,M098322,,,,accept,settlement,0,0,0,0,0,0,0.84,12.47,0,accept
27310473,2016-12-14 09:43:22,5926704f-2ceb-4b9b-b4e5-916ef92aac4c,M098322,,,,accept,settlement,0,0,0,0,0,0,1.83,0.23,0,accept
27311328,2016-12-14 09:47:40,8fbe68b1-56aa-4a92-9e7b-90690aa6eae2,M098322,,,,accept,deny,0,5,2,0,0,0,6.9,0.06,0,accept
27311538,2016-12-14 09:48:54,bb51e466-d16b-4c88-817d-dca07658d000,M098322,,,,accept,deny,0,5,2,0,0,0,157.34,46.17,0,accept
